#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,2.478223
-10.0,1,2.478683
-10.0,1,2.479124
-10.0,1,2.479713
-10.0,1,2.480196
-10.0,1,2.480651
-10.0,1,2.481116
-10.0,1,2.481559
-10.0,1,2.482011
-10.0,1,2.48254
-10.0,1,2.483124
-10.0,1,2.483636
-10.0,1,2.484109
-10.0,1,2.484621
-10.0,1,2.485109
-10.0,1,2.485552
-10.0,1,2.485993
-10.0,1,2.486435
-10.0,1,2.486877
-10.0,1,2.48732
-10.0,1,2.487757
-10.0,1,2.488205
-10.0,1,2.488641
-10.0,1,2.489074
-10.0,1,2.489515
-10.0,1,2.489947
-10.0,1,2.490381
-10.0,1,2.490816
-10.0,1,2.491261
-10.0,1,2.491692
-10.0,1,2.492136
-10.0,1,2.492888
-10.0,1,2.49343
-10.0,1,2.493911
-10.0,1,2.49438
-10.0,1,2.494831
-10.0,1,2.495273
-10.0,1,2.49572
-10.0,1,2.496163
-10.0,1,2.496616
-10.0,1,2.497084
-10.0,1,2.49764
-10.0,1,2.498104
-10.0,1,2.498572
-10.0,1,2.499042
-10.0,1,2.499499
-10.0,1,2.499986
-10.0,1,2.500438
-10.0,1,2.500882
-10.0,1,2.501349
-9.99,2,2.502425
-10.0,1,2.502998
-10.0,1,2.503532
-10.0,1,2.504025
-9.99,2,2.504912
-9.99,2,2.505924
-10.0,1,2.506495
-10.0,1,2.507059
-10.0,1,2.507619
-10.0,1,2.508085
-10.0,1,2.508531
-10.0,1,2.508983
-10.0,1,2.509441
-10.0,1,2.509899
-10.0,1,2.510341
-10.0,1,2.510784
-10.0,1,2.511223
-10.0,1,2.51166
-10.0,1,2.512121
-10.0,1,2.512563
-10.0,1,2.513007
-10.0,1,2.513453
-9.99,2,2.514311
-10.0,1,2.51479
-10.0,1,2.51527
-10.0,1,2.515713
-9.99,2,2.516625
-10.0,1,2.517098
-10.0,1,2.517563
-10.0,1,2.518026
-10.0,1,2.518484
-10.0,1,2.518947
-10.0,1,2.519423
-10.0,1,2.520018
-10.0,1,2.520538
-10.0,1,2.521
-10.0,1,2.521457
-10.0,1,2.521916
-10.0,1,2.522371
-10.0,1,2.522807
-10.0,1,2.523247
-10.0,1,2.523687
-10.0,1,2.52413
-10.0,1,2.524573
-10.0,1,2.525014
-10.0,1,2.525455
-10.0,1,2.525947
-10.0,1,2.526483
-10.0,1,2.527062
-10.0,1,2.527651
-10.0,1,2.528334
-10.0,1,2.528787
-10.0,1,2.529215
-10.0,1,2.529654
-10.0,1,2.530093
-10.0,1,2.530526
-10.0,1,2.531001
-9.99,2,2.531882
-10.0,1,2.532362
-10.0,1,2.532815
-10.0,1,2.533277
-10.0,1,2.533718
-10.0,1,2.53416
-10.0,1,2.534615
-10.0,1,2.535053
-10.0,1,2.535501
-10.0,1,2.535931
