#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,1.030831
-10.0,1,1.031263
-10.0,1,1.031696
-10.0,1,1.032129
-10.0,1,1.032558
-10.0,1,1.03299
-10.0,1,1.03342
-10.0,1,1.033847
-10.0,1,1.034295
-10.0,1,1.034734
-10.0,1,1.035177
-10.0,1,1.035612
-10.0,1,1.03663
-10.0,1,1.037476
-10.0,1,1.038034
-10.0,1,1.038487
-10.0,1,1.03893
-10.0,1,1.039367
-10.0,1,1.039815
-10.0,1,1.040252
-10.0,1,1.040694
-10.0,1,1.041128
-10.0,1,1.041561
-10.0,1,1.041993
-10.0,1,1.042424
-10.0,1,1.042857
-10.0,1,1.043288
-10.0,1,1.043723
-10.0,1,1.044175
-9.99,2,1.045041
-10.0,1,1.045488
-10.0,1,1.045943
-10.0,1,1.046387
-10.0,1,1.04683
-10.0,1,1.047293
-10.0,1,1.047727
